Product Name,Current Inventory Level,Lead Time (in days),Sales Velocity (in units per day),Highest Sales Months,,
JBL Charge 5 Waterproof Bluetooth Speaker,75,5,5,July,August,September
Lululemon Align Leggings,300,10,12,January,February,March
Nintendo Switch Lite,100,7,5,November,December,January
Patagonia Better Sweater Fleece Jacket,75,7,3,November,December,January
Razer BlackWidow V3 Mechanical Gaming Keyboard,20,7,1,November,December,January
Samsung Galaxy Watch3,50,5,5,October,November,December
Sennheiser HD 660 S Headphones,20,7,1,November,December,January
Sony a6600 Mirrorless Camera,10,15,1,June,July,August
The North Face Resolve Jacket,100,5,5,May,June,July
UE BOOM 3 Portable Bluetooth Speaker,100,5,5,July,August,September
Apple iPhone 12 Pro Max,25,7,2,November,December,January
Bose SoundLink Around-Ear Wireless Headphones II,50,5,5,October,November,December
Bose SoundTouch 20 Wireless Speaker,50,5,5,November,December,January
Canon EF 70-200mm f/2.8L IS III USM Lens,10,15,1,October,November,December
Dyson Cyclone V10 Absolute Cordless Vacuum,20,10,2,November,December,January
Garmin fenix 6 Sapphire GPS Watch,50,5,5,June,July,August
Herschel Supply Co. Heritage Backpack,150,10,7,May,June,July
JBL Flip 5 Waterproof Bluetooth Speaker,75,5,5,July,August,September
Lululemon Swiftly Tech Short Sleeve Shirt,200,7,10,May,June,July
Microsoft Xbox Series X,25,7,2,November,December,January
Nike Air Zoom Pegasus 38 Running Shoes,200,7,10,January,February,March
Oculus Quest 2 VR Headset,20,15,1,November,December,January
Sony WH-1000XM4 Wireless Headphones,50,5,5,November,December,January
The North Face Campshire Pullover Fleece,75,7,3,November,December,January
Apple iPad Air,25,10,2,November,December,January
Bose SoundLink Mini II Bluetooth Speaker,50,5,5,November,December,January
Brooks Adrenaline GTS 21 Running Shoes,200,7,10,January,February,March
Canon EOS R6 Mirrorless Camera,10,15,1,June,July,August
Coleman Gas Camping Stove,30,10,1,May,June,July
DJI Mavic 2 Pro Drone,10,15,1,June,July,August
Fjallraven Kanken Laptop Backpack,150,10,7,August,September,October
Garmin Venu 2 GPS Smartwatch,50,5,5,June,July,August
Google Nest Audio Smart Speaker,50,5,5,November,December,January
Herschel Supply Co. Retreat Backpack,100,10,5,May,June,July
JBL Xtreme 3 Portable Bluetooth Speaker,75,5,5,July,August,September
Lululemon In Movement Leggings,300,10,12,January,February,March
Nintendo Switch OLED Model,25,7,2,October,November,December
Patagonia Retro Pile Fleece Jacket,75,7,3,November,December,January
Razer DeathAdder V2 Gaming Mouse,20,7,1,November,December,January
Samsung Galaxy Tab S7 FE,25,10,2,November,December,January
Sennheiser Momentum True Wireless 2 Earbuds,50,5,5,November,December,January
Sony WH-CH710N Noise Cancelling Headphones,50,5,5,November,December,January
The North Face Osito Jacket,100,5,5,November,December,January
UE HYPERBOOM Portable Bluetooth Speaker,50,5,5,November,December,January
Apple iPhone SE (2020),50,7,2,May,June,July
Bose SoundSport Free Wireless Earbuds,50,5,5,November,December,January
Canon EOS Rebel T8i DSLR Camera,10,15,1,June,July,August
Dyson V11 Torque Drive Cordless Vacuum,20,10,2,November,December,January
Garmin Instinct Solar GPS Smartwatch,50,5,5,June,July,August
Herschel Supply Co. Settlement Backpack,150,10,7,June,July,August
JBL Charge 4 Waterproof Bluetooth Speaker,75,5,5,July,August,September
Lululemon Define Jacket,100,5,5,November,December,January
Microsoft Surface Laptop 4,25,10,2,November,December,January
Nike React Infinity Run Flyknit 2 Running Shoes,200,7,10,January,February,March
Oculus Rift S VR Headset,20,15,1,November,December,January
Samsung Galaxy Buds Pro Earbuds,50,5,5,November,December,January
Sony Alpha a7 III Mirrorless Camera,10,15,1,June,July,August
The North Face Women's Arctic Parka,75,7,3,November,December,January
Apple AirPods Pro,50,5,5,November,December,January
Bose QuietComfort Earbuds,50,5,5,November,December,January
Brooks Ghost 13 Running Shoes,200,7,10,January,February,March
Canon EOS 5D Mark IV DSLR Camera,10,15,1,June,July,August
Coleman 8-Person Camping Tent,20,10,2,May,June,July
DJI Osmo Action Camera,10,15,1,June,July,August
Fjallraven Kanken Classic Backpack,200,10,10,July,August,September
Garmin Forerunner 945 GPS Smartwatch,50,5,5,June,July,August
Google Pixel 6 Smartphone,25,7,2,October,November,December
Herschel Supply Co. Nova Backpack,150,10,7,June,July,August
JBL Flip 5 Waterproof Bluetooth Speaker,75,5,5,July,August,September
Lululemon Align Leggings,300,10,12,January,February,March
Nintendo Switch Pro Controller,50,7,2,October,November,December
Patagonia Nano Puff Jacket,75,7,3,November,December,January
Razer BlackWidow V3 Gaming Keyboard,20,7,1,November,December,January
Samsung Galaxy Watch 4 Classic,25,10,2,November,December,January
Sennheiser HD 660 S Headphones,50,5,5,November,December,January
Sony SRS-XB33 Portable Bluetooth Speaker,50,5,5,November,December,January
The North Face Women's Metropolis Parka,75,7,3,November,December,January
UE WONDERBOOM 2 Waterproof Bluetooth Speaker,50,5,5,November,December,January
Apple Watch Series 7,50,5,5,November,December,January
Bose QuietComfort 35 II Headphones,50,5,5,November,December,January
Canon EOS M50 Mark II Mirrorless Camera,10,15,1,June,July,August
Dyson Airwrap Complete Styler,20,10,2,November,December,January
Garmin fenix 6X Pro Solar GPS Smartwatch,50,5,5,June,July,August
Herschel Supply Co. Little America Backpack,150,10,7,May,June,July
JBL Live 650BTNC Noise Cancelling Headphones,50,5,5,November,December,January
Lululemon Wunder Under Leggings,300,10,12,January,February,March
Microsoft Surface Pro 8,25,10,2,November,December,January
Nike Air Zoom Pegasus 38 Running Shoes,200,7,10,January,February,March
Oculus Quest 2 VR Headset,20,15,1,November,December,January
Samsung Galaxy S21 Ultra Smartphone,25,7,2,May,June,July
Apple MacBook Pro (16-inch),25,10,2,November,December,January
Bose QuietComfort 35 II Headphones,50,5,5,November,December,January
Canon EOS 90D DSLR Camera,10,15,1,June,July,August
DJI Ronin-S Gimbal Stabilizer,10,15,1,June,July,August
Fjallraven Kanken Mini Backpack,100,10,5,May,June,July
Garmin Forerunner 245 Music Smartwatch,50,5,5,June,July,August
GoPro HERO9 Black Action Camera,10,15,1,June,July,August
Herschel Supply Co. Little America Backpack,150,10,7,May,June,July
JBL Charge 5 Portable Bluetooth Speaker,75,5,5,July,August,September
Lululemon Align Tank Top,300,10,12,January,February,March
Microsoft Surface Pro 7,25,10,2,November,December,January
Nintendo Switch Pro Controller,50,7,2,October,November,December
Patagonia Nano Puff Jacket,75,7,3,November,December,January
Razer BlackWidow Elite Mechanical Keyboard,20,7,1,November,December,January
Samsung Galaxy Buds Pro Earbuds,50,5,5,November,December,January
Sennheiser HD 650 Headphones,50,5,5,November,December,January
Sony a6400 Mirrorless Camera,10,15,1,June,July,August
The North Face Women's Gotham Jacket,75,7,3,November,December,January
UE HYPERBOOM Portable Bluetooth Speaker,50,5,5,November,December,January
Apple Watch Series 6,50,5,5,November,December,January
Bose SoundSport Wireless Earbuds,50,5,5,November,December,January
Canon EOS Rebel T7i DSLR Camera,10,15,1,June,July,August
Dyson V11 Outsize Cordless Vacuum,20,10,2,November,December,January
Garmin fenix 6 Pro GPS Smartwatch,50,5,5,June,July,August
Herschel Supply Co. Nova Backpack,150,10,7,June,July,August
JBL LIVE 500BT Wireless Headphones,50,5,5,November,December,January
Lululemon Invigorate High-Rise Tight,200,7,10,January,February,March
Microsoft Xbox Series S,25,7,2,November,December,January
Nike Air Zoom Structure 23 Running Shoes,200,7,10,January,February,March
Oculus Rift S PC-Powered VR Gaming Headset,20,15,1,November,December,January
Samsung Galaxy S20 FE Smartphone,25,7,2,May,June,July
Sony WF-1000XM4 Wireless Earbuds,50,5,5,November,December,January
The North Face Men's Venture 2 Jacket,100,5,5,November,December,January
